01/08/2026 00:26:53 | INFO | Tamanho: 304.00 KB
01/08/2026 00:26:53 | INFO | Backups antigos removidos: 0
01/08/2026 00:26:53 | INFO | Tempo de execução: 0.18 segundos
01/08/2026 21:26:16 | INFO | Iniciando backup automático.
01/08/2026 21:26:16 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
01/08/2026 21:26:16 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
01/08/2026 21:26:16 | INFO | Backup realizado com sucesso.
01/08/2026 21:26:16 | INFO | Arquivo criado: sistema_2026-08-01_21-26-16.db
01/08/2026 21:26:16 | INFO | Tamanho: 304.00 KB
01/08/2026 21:26:16 | INFO | Backups antigos removidos: 0
01/08/2026 21:26:16 | INFO | Tempo de execução: 0.67 segundos
02/08/2026 19:00:02 | INFO | Iniciando backup automático.
02/08/2026 19:00:02 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
02/08/2026 19:00:02 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
02/08/2026 19:00:03 | INFO | Backup realizado com sucesso.
02/08/2026 19:00:03 | INFO | Arquivo criado: sistema_2026-08-02_19-00-03.db
02/08/2026 19:00:03 | INFO | Tamanho: 304.00 KB
02/08/2026 19:00:03 | INFO | Backups antigos removidos: 0
02/08/2026 19:00:03 | INFO | Tempo de execução: 0.73 segundos
03/08/2026 20:52:26 | INFO | Iniciando backup automático.
03/08/2026 20:52:26 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
03/08/2026 20:52:26 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
03/08/2026 20:52:27 | INFO | Backup realizado com sucesso.
03/08/2026 20:52:27 | INFO | Arquivo criado: sistema_2026-08-03_20-52-27.db
03/08/2026 20:52:27 | INFO | Tamanho: 304.00 KB
03/08/2026 20:52:27 | INFO | Backups antigos removidos: 0
03/08/2026 20:52:27 | INFO | Tempo de execução: 1.45 segundos
06/08/2026 20:43:04 | INFO | Iniciando backup automático.
06/08/2026 20:43:04 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
06/08/2026 20:43:04 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
06/08/2026 20:43:04 | INFO | Backup realizado com sucesso.
06/08/2026 20:43:04 | INFO | Arquivo criado: sistema_2026-08-06_20-43-04.db
06/08/2026 20:43:04 | INFO | Tamanho: 304.00 KB
06/08/2026 20:43:04 | INFO | Backups antigos removidos: 0
06/08/2026 20:43:04 | INFO | Tempo de execução: 0.16 segundos
08/08/2026 16:24:08 | INFO | Iniciando backup automático.
08/08/2026 16:24:08 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
08/08/2026 16:24:08 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
08/08/2026 16:24:09 | INFO | Backup realizado com sucesso.
08/08/2026 16:24:09 | INFO | Arquivo criado: sistema_2026-08-08_16-24-09.db
08/08/2026 16:24:09 | INFO | Tamanho: 304.00 KB
08/08/2026 16:24:09 | INFO | Backups antigos removidos: 0
08/08/2026 16:24:09 | INFO | Tempo de execução: 1.37 segundos
08/08/2026 19:00:10 | INFO | Iniciando backup automático.
08/08/2026 19:00:10 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
08/08/2026 19:00:10 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
08/08/2026 19:00:12 | INFO | Backup realizado com sucesso.
08/08/2026 19:00:12 | INFO | Arquivo criado: sistema_2026-08-08_19-00-11.db
08/08/2026 19:00:12 | INFO | Tamanho: 304.00 KB
08/08/2026 19:00:12 | INFO | Backups antigos removidos: 0
08/08/2026 19:00:12 | INFO | Tempo de execução: 1.89 segundos
09/08/2026 20:44:19 | INFO | Iniciando backup automático.
09/08/2026 20:44:19 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
09/08/2026 20:44:19 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
09/08/2026 20:44:20 | INFO | Backup realizado com sucesso.
09/08/2026 20:44:20 | INFO | Arquivo criado: sistema_2026-08-09_20-44-20.db
09/08/2026 20:44:20 | INFO | Tamanho: 304.00 KB
09/08/2026 20:44:20 | INFO | Backups antigos removidos: 0
09/08/2026 20:44:20 | INFO | Tempo de execução: 0.88 segundos
10/08/2026 20:41:51 | INFO | Iniciando backup automático.
10/08/2026 20:41:51 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
10/08/2026 20:41:51 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
10/08/2026 20:41:51 | INFO | Backup realizado com sucesso.
10/08/2026 20:41:51 | INFO | Arquivo criado: sistema_2026-08-10_20-41-51.db
10/08/2026 20:41:51 | INFO | Tamanho: 304.00 KB
10/08/2026 20:41:51 | INFO | Backups antigos removidos: 0
10/08/2026 20:41:51 | INFO | Tempo de execução: 0.48 segundos
11/08/2026 20:43:41 | INFO | Iniciando backup automático.
11/08/2026 20:43:41 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
11/08/2026 20:43:41 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
11/08/2026 20:43:41 | INFO | Backup realizado com sucesso.
11/08/2026 20:43:41 | INFO | Arquivo criado: sistema_2026-08-11_20-43-41.db
11/08/2026 20:43:41 | INFO | Tamanho: 304.00 KB
11/08/2026 20:43:41 | INFO | Backups antigos removidos: 0
11/08/2026 20:43:41 | INFO | Tempo de execução: 0.22 segundos
12/08/2026 19:00:02 | INFO | Iniciando backup automático.
12/08/2026 19:00:02 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
12/08/2026 19:00:02 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
12/08/2026 19:00:03 | INFO | Backup realizado com sucesso.
12/08/2026 19:00:03 | INFO | Arquivo criado: sistema_2026-08-12_19-00-02.db
12/08/2026 19:00:03 | INFO | Tamanho: 304.00 KB
12/08/2026 19:00:03 | INFO | Backups antigos removidos: 0
12/08/2026 19:00:03 | INFO | Tempo de execução: 0.33 segundos
14/08/2026 20:16:16 | INFO | Iniciando backup automático.
14/08/2026 20:16:16 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
14/08/2026 20:16:16 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
14/08/2026 20:16:16 | INFO | Backup realizado com sucesso.
14/08/2026 20:16:16 | INFO | Arquivo criado: sistema_2026-08-14_20-16-16.db
14/08/2026 20:16:16 | INFO | Tamanho: 304.00 KB
14/08/2026 20:16:16 | INFO | Backups antigos removidos: 0
14/08/2026 20:16:16 | INFO | Tempo de execução: 0.12 segundos
16/08/2026 19:00:11 | INFO | Iniciando backup automático.
16/08/2026 19:00:11 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
16/08/2026 19:00:11 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
16/08/2026 19:00:12 | INFO | Backup antigo removido: sistema_2026-07-16_09-35-50.db
16/08/2026 19:00:12 | INFO | Backup antigo removido: sistema_2026-07-16_09-39-07.db
16/08/2026 19:00:12 | INFO | Backup antigo removido: sistema_2026-07-16_09-56-41.db
16/08/2026 19:00:13 | INFO | Backup antigo removido: sistema_2026-07-17_08-15-56.db
16/08/2026 19:00:13 | INFO | Backup realizado com sucesso.
16/08/2026 19:00:13 | INFO | Arquivo criado: sistema_2026-08-16_19-00-12.db
16/08/2026 19:00:14 | INFO | Tamanho: 304.00 KB
16/08/2026 19:00:14 | INFO | Backups antigos removidos: 4
16/08/2026 19:00:14 | INFO | Tempo de execução: 2.80 segundos
17/08/2026 22:04:58 | INFO | Iniciando backup automático.
17/08/2026 22:04:58 | INFO | Banco de origem: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\instance\sistema.db
17/08/2026 22:04:58 | INFO | Pasta de destino: C:\Users\anafj\OneDrive\Documentos\SistemaJuridico\backups_automaticos
17/08/2026 22:04:59 | INFO | Backup antigo removido: sistema_2026-07-18_17-03-21.db
17/08/2026 22:04:59 | INFO | Backup antigo removido: sistema_2026-07-18_21-09-48.db
17/08/2026 22:05:00 | INFO | Backup realizado com sucesso.
17/08/2026 22:05:00 | INFO | Arquivo criado: sistema_2026-08-17_22-04-59.db
17/08/2026 22:05:00 | INFO | Tamanho: 304.00 KB
17/08/2026 22:05:00 | INFO | Backups antigos removidos: 2
17/08/2026 22:05:00 | INFO | Tempo de execução: 1.26 segundos
